"trade_date","action","shares","price","note_type","note"
"2023-08-08","buy","6000","18","股息再投入",""
"2023-09-12","buy","5000","20","年終投入",""
"2023-12-26","buy","10000","21","定期投入",""
"2024-03-18","buy","6000","23","薪資投入",""
"2024-03-18","buy","9000","17","年終投入",""
"2024-08-22","buy","9000","22","再平衡調整",""
"2024-11-26","buy","6000","20","定期投入",""
"2025-04-17","buy","8000","22","定期投入",""
"2025-06-21","buy","8000","22","部位調整",""
"2025-08-27","buy","3000","23","股息再投入",""
"2025-10-23","buy","4000","19","股息再投入",""
"2025-11-25","buy","3000","20","股息再投入",""
"2025-12-24","buy","3000","22.5","股息再投入",""
"2026-01-06","buy","1500","24","閒置資金投入",""
"2026-01-12","buy","3000","22","股息再投入",""
"2026-02-05","buy","1000","25","其他",""
"2026-02-16","buy","3000","18","股息再投入",""
"2026-02-25","buy","2000","22","再平衡調整",""
"2026-03-17","buy","3000","17","股息再投入",""
"2026-03-26","buy","5000","24","年終投入",""
"2026-04-02","sell","500","23","其他",""
"2026-04-05","sell","1000","25","薪資投入",""
"2026-04-05","buy","6000","18","股息再投入",""
"2026-04-06","buy","2000","23","其他","第一筆交易"
"2026-05-21","buy","5000","26","閒置資金投入",""
